#options: 852x480 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=3 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=0 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=2000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:76 out:76 type:P dur:2 cpbdur:2 q:21.69 aq:16.41 tex:6748 mv:1975 misc:1541 imb:7 pmb:417 smb:1196 d:- ref:0 ;
in:77 out:77 type:P dur:2 cpbdur:2 q:21.46 aq:15.51 tex:126518 mv:14679 misc:1707 imb:290 pmb:1303 smb:27 d:- ref:0 ;
in:78 out:78 type:P dur:2 cpbdur:2 q:21.27 aq:15.54 tex:86721 mv:12721 misc:1726 imb:190 pmb:1309 smb:121 d:- ref:0 ;
in:79 out:79 type:P dur:2 cpbdur:2 q:21.20 aq:15.83 tex:20355 mv:7755 misc:1674 imb:114 pmb:823 smb:683 d:- ref:0 ;
in:80 out:80 type:P dur:2 cpbdur:2 q:21.52 aq:16.57 tex:67097 mv:13058 misc:1701 imb:214 pmb:1218 smb:188 d:- ref:0 ;
in:81 out:81 type:P dur:2 cpbdur:2 q:21.52 aq:15.77 tex:2769 mv:1145 misc:1070 imb:7 pmb:229 smb:1384 d:- ref:0 ;
in:82 out:82 type:P dur:2 cpbdur:2 q:21.33 aq:16.44 tex:235133 mv:20603 misc:1704 imb:483 pmb:1067 smb:70 d:- ref:0 ;
in:83 out:83 type:P dur:2 cpbdur:2 q:21.66 aq:16.33 tex:13772 mv:4533 misc:1551 imb:73 pmb:581 smb:966 d:- ref:0 ;
in:84 out:84 type:P dur:2 cpbdur:2 q:21.87 aq:16.10 tex:208009 mv:19869 misc:1730 imb:321 pmb:1217 smb:82 d:- ref:0 ;
in:85 out:85 type:P dur:2 cpbdur:2 q:22.20 aq:16.71 tex:4468 mv:1746 misc:1258 imb:8 pmb:314 smb:1298 d:- ref:0 ;
in:86 out:86 type:P dur:2 cpbdur:2 q:22.52 aq:17.54 tex:21055 mv:5404 misc:1429 imb:62 pmb:706 smb:852 d:- ref:0 ;
in:87 out:87 type:P dur:2 cpbdur:2 q:22.40 aq:16.02 tex:236013 mv:20702 misc:1701 imb:430 pmb:1152 smb:38 d:- ref:0 ;
in:88 out:88 type:P dur:2 cpbdur:2 q:22.99 aq:16.67 tex:24819 mv:6543 misc:1662 imb:66 pmb:841 smb:713 d:- ref:0 ;
in:89 out:89 type:P dur:2 cpbdur:2 q:22.86 aq:16.25 tex:2799 mv:1240 misc:1129 imb:4 pmb:260 smb:1356 d:- ref:0 ;
